rank	#	word
0	31347	"rt
1	16138	the
2	14120	to
3	11298	a
4	10778	i
5	9208	you
6	8007	and
7	7824	is
8	6978	of
9	6821	in
10	6797	for
11	5080	my
12	5050	this
13	4807	on
14	3885	me
15	3702	that
16	3545	with
17	3446	be
18	3317	so
19	3258	it
20	3038	your
21	2981	at
22	2780	-
23	2728	like
24	2648	just
25	2638	are
26	2562	not
27	2489	have
28	2474	"i
29	2459	if
30	2459	when
31	2431	but
32	2159	all
33	2011	i'm
34	1971	&
35	1907	we
36	1906	was
37	1874	what
38	1874	trump
39	1870	love
40	1865	don't
41	1860	do
42	1821	get
43	1794	he
44	1706	from
45	1645	out
46	1619	can
47	1600	it's
48	1579	about
49	1573	by
50	1570	up
51	1497	will
52	1486	one
53	1471	how
54	1463	as
55	1455	who
56	1406	people
57	1394	u
58	1387	they
59	1368	no
60	1361	has
61	1266	know
62	1212	his
63	1186	new
64	1139	more
65	1117	or
66	1110	want
67	1050	an
68	1038	go
69	1025	good
70	1019	need
71	1011	make
72	991	time
73	975	see
74	973	you're
75	958	now
76	939	her
77	914	got
78	907	really
79	901	can't
80	893	only
81	886	than
82	881	she
83	860	why
84	847	would
85	843	going
86	833	never
87	832	been
88	809	think
89	803	our
90	779	donald
91	745	back
92	738	much
93	721	some
94	719	best
95	718	happy
96	717	#supertuesday
97	711	us
98	702	someone
99	701	still
100	700	win
101	694	day
102	685	even
103	670	him
104	657	4
105	650	always
106	642	better
107	633	their
108	623	right
109	622	hate
110	617	2
111	616	over
112	614	life
113	614	them
114	612	because
115	608	say
116	604	look
117	602	thank
118	599	too
119	598	after
120	594	school
121	586	being
122	585	via
123	582	rt
124	580	here
125	578	"i'm
126	574	#kca
127	573	man
128	572	bernie
129	567	had
130	563	great
131	543	there
132	539	off
133	539	did
134	539	he's
135	534	come
136	531	then
137	524	gonna
138	523	take
139	519	shit
140	512	these
141	509	ever
142	506	am
143	502	could
144	498	every
145	498	that's
146	498	please
147	495	let
148	494	first
149	493	way
150	486	"the
151	485	its
152	482	should
153	482	birthday
154	476	feel
155	474	watch
156	471	"my
157	470	video
158	470	im
159	468	girl
160	466	sanders
161	461	keep
163	458	last
164	456	vote
165	447	fuck
166	442	stop
167	440	were
168	435	work
169	432	high
170	424	into
171	423	follow
172	422	won
173	419	where
174	411	god
175	411	before
176	408	twitter
177	406	today
178	403	things
179	402	live
180	400	cruz
181	396	give
182	394	real
183	392	wanna
184	391	down
185	380	everyone
186	375	night
187	375	y'all
188	374	black
189	373	next
190	372	something
191	368	little
192	366	bad
193	365	#supertuesday"
194	364	i'll
195	363	already
196	361	big
197	360	most
198	359	2016
199	359	girls
200	358	thanks
201	358	|
202	357	ur
203	356	christie
204	355	i've
205	351	fucking
206	350	made
